p1,p2,symmetry_class,symmetry_num,esrgan_combined,esrgan_diff,esrgan_min,jpeg_combined,jpeg_diff,jpeg_q_combined,freq_radius_sum,pred_esrgan_nc,pred_jpeg_nc,pred_combined,pred_min_nc,pareto_optimal
"(1, 5)","(3, 2)",asymmetric,0,8.42767977057759,0.5076086012664982,3.9600355846555457,6.23465459959073,0.35832311176219767,80.0,8.704570789056774,0.8462827859838917,0.7318181818181818,0.7273151261357895,0.7318181818181818,False
"(1, 5)","(3, 3)",asymmetric,0,8.077181919103687,0.15711074979259632,3.9600355846555457,6.479288247030964,0.11368946432196303,87.0,9.34166020071207,0.8702799812054209,0.7,0.7321679887232525,0.7,False
"(1, 5)","(3, 4)",asymmetric,0,7.783159427392773,0.1369117419183179,3.823123842737228,7.377663069561947,0.7846853582090199,109.0,10.099019513592784,0.8904105329432898,0.6,0.7142463197659739,0.6,False
"(1, 5)","(3, 5)",asymmetric,0,7.51657474231682,0.4034964269942716,3.556539157661274,6.924961685582028,0.33198397422910064,145.0,10.929971408438085,0.9086625270823004,0.4363636363636364,0.6761066071584712,0.4363636363636364,False
"(1, 5)","(3, 6)",asymmetric,0,7.311284239437223,0.6087869298738693,3.3512486547816764,7.545534674922653,0.9525569635697253,138.0,11.807223446092154,0.9227179521127572,0.46818181818181814,0.6940853167221996,0.46818181818181814,False
"(1, 5)","(3, 7)",asymmetric,0,7.236478762004292,0.6835924073067998,3.276443177348746,7.312595012462841,0.7196173011099147,120.0,12.714792619456693,0.9278395859203511,0.55,0.7217037515522107,0.55,False
"(1, 5)","(4, 0)",near-symmetric,1,9.742201841369457,1.822130672058365,3.9600355846555457,7.24219434884052,0.6492166374875925,76.0,9.099019513592784,0.756282682921491,0.75,0.7287696097528946,0.75,False
"(1, 5)","(4, 1)",near-symmetric,1,13.934465839379389,6.014394670068298,3.9600355846555457,8.320091754157435,1.7271140428045082,80.0,9.222125139210444,0.46925502452820267,0.7318181818181818,0.5510984692623762,0.46925502452820267,False
"(1, 5)","(4, 2)",near-symmetric,1,8.22755518009715,0.3074840107860588,3.9600355846555457,6.703600434399991,0.11062272304706466,95.0,9.571155468592364,0.8599845215186251,0.6636363636363636,0.7650816220020842,0.6636363636363636,False
"(1, 5)","(4, 3)",asymmetric,0,7.969152256283705,0.049081086972613264,3.9600355846555457,7.072190671459946,0.47921296010701964,114.0,10.099019513592784,0.8776763429734191,0.5772727272727273,0.6997876239658697,0.5772727272727273,False
"(1, 5)","(4, 4)",asymmetric,0,7.644647489562772,0.2754236797483198,3.684611904907226,7.048770905237022,0.4557931938840958,126.0,10.755873763085166,0.8998938949628893,0.5227272727272727,0.6967545187959154,0.5227272727272727,False
