alpha,attack,coeff_row,coeff_col,mean_abs_change,std_abs_change,median_abs_change,mean_rel_change
0.1,real_esrgan,0,0,53.11191875000002,34.99722990028545,45.24339062499999,0.038886026720756625
0.1,real_esrgan,0,1,11.035371966933372,10.321982625619771,7.718455084456336,1.2613627842257842
0.1,real_esrgan,0,2,8.45796283019676,8.27948402375384,5.852734856745527,1.7140573815508007
0.1,real_esrgan,0,3,7.054556448474199,7.450473431604207,4.637383298205496,1.86020507047551
0.1,real_esrgan,0,4,6.208482391357421,6.87218602799944,3.869328125000207,5.6696511436738675
0.1,real_esrgan,0,5,5.472957646210912,6.555729658024876,3.2587123621470617,1.6932795354269925
0.1,real_esrgan,0,6,5.032609978067405,6.235388590208564,2.9157298865455648,3.671650615532116
0.1,real_esrgan,0,7,4.797553893351659,5.96670101361929,2.75460981044683,2.2925366463286405
0.1,real_esrgan,1,0,11.85806344786722,11.399943011193846,8.398674938297079,1.2609373264094141
0.1,real_esrgan,1,1,8.044411825830162,7.345202970219515,5.721203856232842,2.5321148524666452
0.1,real_esrgan,1,2,6.77703930364805,6.2252190098568665,4.8245211195439515,2.21195734776196
0.1,real_esrgan,1,3,5.83383116827986,5.5719064609654785,4.1661442405008895,2.006510169707444
0.1,real_esrgan,1,4,10.910781068351776,7.37355389642501,10.146500260352354,1.6808712852673253
0.1,real_esrgan,1,5,4.646669378020814,4.707755036726257,3.0550588745461713,1.928041826768674
0.1,real_esrgan,1,6,4.2812812109922636,4.45530469152178,2.7577102831154976,2.233857435456339
0.1,real_esrgan,1,7,4.025031403092708,4.373859537860672,2.525942775892136,3.4088946404058578
0.1,real_esrgan,2,0,8.793628544127328,8.88703801897714,6.291484149791313,4.263870480603388
0.1,real_esrgan,2,1,6.907317559806963,6.449032978333644,5.071887357763704,3.9229928775572063
0.1,real_esrgan,2,2,6.019361886417142,5.649091099069633,4.2533983325972375,1.6519415098745935
0.1,real_esrgan,2,3,5.266095809393943,4.986468399741708,3.6387695903147335,2.060931367874364
0.1,real_esrgan,2,4,4.772059202837348,4.601222967812758,3.135719070937257,21.51747884630905
0.1,real_esrgan,2,5,4.304620662182296,4.2279592145058675,2.7196373745767355,2.22744921989239
0.1,real_esrgan,2,6,3.9516308121343657,4.012699985108832,2.465301315260671,3.1041170260175535
0.1,real_esrgan,2,7,3.823777743263584,3.942426364229762,2.4273527797469567,2.356390221233753
0.1,real_esrgan,3,0,7.414674314319379,8.05736917561628,5.006154604502086,1.7663335906809463
0.1,real_esrgan,3,1,6.125720486839448,5.940453411635178,4.462406581422329,1.7425606953958863
0.1,real_esrgan,3,2,5.375973494959178,5.144367828698692,3.773316626267377,1.5357475656043784
0.1,real_esrgan,3,3,4.863298311912817,4.647310656325322,3.2428580074035884,1.6389159432222646
0.1,real_esrgan,3,4,4.475718449079557,4.355318311598515,2.858685710048437,2.5071859088330637
0.1,real_esrgan,3,5,4.038814960417121,4.012575387890594,2.560831348531605,2.669649229178789
0.1,real_esrgan,3,6,3.7832607806706426,3.777543676040121,2.4006926344398014,2.8802449758145916
0.1,real_esrgan,3,7,3.6020666680792073,3.734457992005283,2.275151327005462,3.1531350207777136
0.1,real_esrgan,4,0,6.630707678222658,7.504763344048039,4.445343750000006,2.259800351668611
0.1,real_esrgan,4,1,10.664312988044824,7.428863937915369,9.239856636674592,2.3565561022540997
0.1,real_esrgan,4,2,4.958070703018658,4.823859559220176,3.3750750497870308,2.7398847872656455
0.1,real_esrgan,4,3,4.557071700709461,4.417652598506526,2.973261187831405,2.3627072095057513
0.1,real_esrgan,4,4,4.1896360180664045,4.112791930305804,2.6373906249999894,6.745501520004324
0.1,real_esrgan,4,5,3.9150052663190915,3.893174596631863,2.48967479534711,2.6827453419665748
0.1,real_esrgan,4,6,3.6261879182969246,3.6540327845750955,2.3084840027314844,2.919173121082788
0.1,real_esrgan,4,7,3.5327964407197747,3.5978646392383378,2.1938928178263715,2.8220480897860676
