coeff_pair,symmetry,attack,mean_nc,esrgan_damage_p1,esrgan_damage_p2,esrgan_delta,esrgan_combined,jpeg_delta,jpeg_combined
"(1,4)/(4,7)",asymmetric,espcn_x4,0.9978515625,10.40736375992014,3.216483961012089,7.19087979890805,13.623847720932229,0.33752164316505073,8.36891817561461
"(1,4)/(5,6)",asymmetric,real_esrgan,0.80205078125,10.40736375992014,3.2427166117665633,7.164647148153576,13.650080371686702,0.5315346582178595,8.562931190667419
"(1,4)/(5,6)",asymmetric,jpeg_compression_q50,0.9654296875,10.40736375992014,3.2427166117665633,7.164647148153576,13.650080371686702,0.5315346582178595,8.562931190667419
"(1,4)/(5,6)",asymmetric,gaussian_blur_5x5,0.82724609375,10.40736375992014,3.2427166117665633,7.164647148153576,13.650080371686702,0.5315346582178595,8.562931190667419
"(1,4)/(5,6)",asymmetric,espcn_x4,0.9982421875,10.40736375992014,3.2427166117665633,7.164647148153576,13.650080371686702,0.5315346582178595,8.562931190667419
"(1,0)/(4,7)",asymmetric,real_esrgan,0.4142578125,10.380939637229789,3.216483961012089,7.164455676217699,13.597423598241878,0.6534013388756095,8.053038479904052
"(1,0)/(4,7)",asymmetric,jpeg_compression_q50,0.930859375,10.380939637229789,3.216483961012089,7.164455676217699,13.597423598241878,0.6534013388756095,8.053038479904052
"(1,0)/(4,7)",asymmetric,gaussian_blur_5x5,0.45625,10.380939637229789,3.216483961012089,7.164455676217699,13.597423598241878,0.6534013388756095,8.053038479904052
"(1,0)/(4,7)",asymmetric,espcn_x4,0.99091796875,10.380939637229789,3.216483961012089,7.164455676217699,13.597423598241878,0.6534013388756095,8.053038479904052
"(1,0)/(5,6)",asymmetric,real_esrgan,0.40419921875,10.380939637229789,3.2427166117665633,7.138223025463225,13.623656248996351,0.8474143539284182,8.24705149495686
"(1,0)/(5,6)",asymmetric,jpeg_compression_q50,0.85283203125,10.380939637229789,3.2427166117665633,7.138223025463225,13.623656248996351,0.8474143539284182,8.24705149495686
"(1,0)/(5,6)",asymmetric,gaussian_blur_5x5,0.450390625,10.380939637229789,3.2427166117665633,7.138223025463225,13.623656248996351,0.8474143539284182,8.24705149495686
"(1,0)/(5,6)",asymmetric,espcn_x4,0.9912109375,10.380939637229789,3.2427166117665633,7.138223025463225,13.623656248996351,0.8474143539284182,8.24705149495686
"(1,4)/(3,7)",asymmetric,real_esrgan,0.82333984375,10.40736375992014,3.276443177348746,7.1309205825713935,13.683806937268885,0.0004078905615987338,8.031804423011158
"(1,4)/(3,7)",asymmetric,jpeg_compression_q50,0.9908203125,10.40736375992014,3.276443177348746,7.1309205825713935,13.683806937268885,0.0004078905615987338,8.031804423011158
"(1,4)/(3,7)",asymmetric,gaussian_blur_5x5,0.8537109375,10.40736375992014,3.276443177348746,7.1309205825713935,13.683806937268885,0.0004078905615987338,8.031804423011158
"(1,4)/(3,7)",asymmetric,espcn_x4,0.998046875,10.40736375992014,3.276443177348746,7.1309205825713935,13.683806937268885,0.0004078905615987338,8.031804423011158
"(1,4)/(4,6)",asymmetric,real_esrgan,0.80810546875,10.40736375992014,3.2837928415311013,7.1235709183890386,13.69115660145124,0.4192853373796428,8.450681869829202
"(1,4)/(4,6)",asymmetric,jpeg_compression_q50,0.964453125,10.40736375992014,3.2837928415311013,7.1235709183890386,13.69115660145124,0.4192853373796428,8.450681869829202
"(1,4)/(4,6)",asymmetric,gaussian_blur_5x5,0.85322265625,10.40736375992014,3.2837928415311013,7.1235709183890386,13.69115660145124,0.4192853373796428,8.450681869829202
"(1,4)/(4,6)",asymmetric,espcn_x4,0.998046875,10.40736375992014,3.2837928415311013,7.1235709183890386,13.69115660145124,0.4192853373796428,8.450681869829202
"(1,4)/(6,5)",asymmetric,real_esrgan,0.80244140625,10.40736375992014,3.2976692341335236,7.109694525786615,13.705032994053663,0.42084484707635994,8.452241379525919
"(1,4)/(6,5)",asymmetric,jpeg_compression_q50,0.95322265625,10.40736375992014,3.2976692341335236,7.109694525786615,13.705032994053663,0.42084484707635994,8.452241379525919
"(1,4)/(6,5)",asymmetric,gaussian_blur_5x5,0.82861328125,10.40736375992014,3.2976692341335236,7.109694525786615,13.705032994053663,0.42084484707635994,8.452241379525919
"(1,4)/(6,5)",asymmetric,espcn_x4,0.99833984375,10.40736375992014,3.2976692341335236,7.109694525786615,13.705032994053663,0.42084484707635994,8.452241379525919
"(1,0)/(3,7)",asymmetric,real_esrgan,0.44345703125,10.380939637229789,3.276443177348746,7.104496459881043,13.657382814578535,0.3162875862721575,7.7159247273005995
"(1,0)/(3,7)",asymmetric,jpeg_compression_q50,0.96044921875,10.380939637229789,3.276443177348746,7.104496459881043,13.657382814578535,0.3162875862721575,7.7159247273005995
"(1,0)/(3,7)",asymmetric,gaussian_blur_5x5,0.47646484375,10.380939637229789,3.276443177348746,7.104496459881043,13.657382814578535,0.3162875862721575,7.7159247273005995
"(1,0)/(3,7)",asymmetric,espcn_x4,0.99111328125,10.380939637229789,3.276443177348746,7.104496459881043,13.657382814578535,0.3162875862721575,7.7159247273005995
"(5,7)/(7,7)",near-symmetric,real_esrgan,0.8509765625,3.12969769773316,3.052821638475687,0.07687605925747265,6.182519336208847,0.20240833706629768,8.764768819257892
"(5,7)/(7,7)",near-symmetric,jpeg_compression_q50,0.87353515625,3.12969769773316,3.052821638475687,0.07687605925747265,6.182519336208847,0.20240833706629768,8.764768819257892
