image,alpha,model,attack_name,nc,ber,psnr_after_attack,ssim_after_attack,runtime_s,out_h,out_w
t006,0.1,edsr,edsr_x4,1.0,0.0,41.58378023715112,0.975250496193358,42.01678681373596,512,512
t006,0.2,edsr,edsr_x4,1.0,0.0,41.38937760433568,0.9745617600022406,42.22937798500061,512,512
t006,0.3,edsr,edsr_x4,1.0,0.0,41.18023502127363,0.9737191570303806,46.5601909160614,512,512
t007,0.05,edsr,edsr_x4,1.0,0.0,38.66185714442932,0.9876294600221825,48.26090693473816,512,512
t007,0.1,edsr,edsr_x4,1.0,0.0,38.49000631916787,0.987172905330466,52.419487953186035,512,512
t007,0.2,edsr,edsr_x4,1.0,0.0,38.18997864161131,0.9863563471416398,55.963496923446655,512,512
t007,0.3,edsr,edsr_x4,1.0,0.0,37.88944263268556,0.9854994109899019,58.937089920043945,512,512
t008,0.05,edsr,edsr_x4,1.0,0.0,42.27140556588714,0.9802597042960522,57.701361894607544,512,512
t008,0.1,edsr,edsr_x4,1.0,0.0,42.18752279110751,0.9798834918231331,51.2282350063324,512,512
t008,0.2,edsr,edsr_x4,1.0,0.0,42.00491338283533,0.9791026764868844,45.19172024726868,512,512
t008,0.3,edsr,edsr_x4,1.0,0.0,41.82058450554737,0.9782713671122357,43.2052218914032,512,512
t009,0.05,edsr,edsr_x4,1.0,0.0,39.50828383721674,0.9686084703148005,43.31300902366638,512,512
t009,0.1,edsr,edsr_x4,1.0,0.0,39.380221899975695,0.9681438190774084,48.24323511123657,512,512
t009,0.2,edsr,edsr_x4,1.0,0.0,39.0972510647262,0.9670964737653002,47.56038808822632,512,512
t009,0.3,edsr,edsr_x4,1.0,0.0,38.83084571498638,0.9660843706202392,47.09351110458374,512,512
t010,0.05,edsr,edsr_x4,1.0,0.0,42.26547928258387,0.9755232114002963,43.464690923690796,512,512
t010,0.1,edsr,edsr_x4,1.0,0.0,42.187987998178016,0.9752121730566495,42.78870391845703,512,512
t010,0.2,edsr,edsr_x4,1.0,0.0,42.00186232980055,0.9744695152484496,38.456799030303955,512,512
t010,0.3,edsr,edsr_x4,1.0,0.0,41.84140326265373,0.9737957091697966,38.68535327911377,512,512
t011,0.05,edsr,edsr_x4,1.0,0.0,42.117214439193646,0.9787123464143037,39.47398495674133,512,512
t011,0.1,edsr,edsr_x4,1.0,0.0,42.04124439616871,0.9783942503306743,39.98873591423035,512,512
t011,0.2,edsr,edsr_x4,1.0,0.0,41.85868828994151,0.9776567239848388,39.86604595184326,512,512
t011,0.3,edsr,edsr_x4,1.0,0.0,41.65824657045326,0.9767534074662149,45.13306188583374,512,512
t012,0.05,edsr,edsr_x4,1.0,0.0,42.70705290253677,0.9765303815721432,38.731555223464966,512,512
t012,0.1,edsr,edsr_x4,1.0,0.0,42.609516023473375,0.9761157921193954,38.49788284301758,512,512
t012,0.2,edsr,edsr_x4,1.0,0.0,42.43946273341959,0.975364950207594,42.87391400337219,512,512
t012,0.3,edsr,edsr_x4,1.0,0.0,42.2970464277017,0.9746800165839301,42.35977506637573,512,512
t013,0.05,edsr,edsr_x4,1.0,0.0,37.67258081525977,0.9901334701866188,40.04333281517029,512,512
t013,0.1,edsr,edsr_x4,1.0,0.0,37.4956219511365,0.9897131082963665,40.13076996803284,512,512
t013,0.2,edsr,edsr_x4,1.0,0.0,37.16544879777118,0.9888850389115739,39.885921001434326,512,512
t013,0.3,edsr,edsr_x4,1.0,0.0,36.83973136846605,0.9880163061255143,39.72782897949219,512,512
t014,0.05,edsr,edsr_x4,1.0,0.0,39.47852212356975,0.9804236587888483,39.553730964660645,512,512
t014,0.1,edsr,edsr_x4,1.0,0.0,39.33103642115289,0.9798285168931918,40.972986698150635,512,512
t014,0.2,edsr,edsr_x4,1.0,0.0,39.045100063601666,0.9785534230957461,42.76526188850403,512,512
t014,0.3,edsr,edsr_x4,1.0,0.0,38.78202202890409,0.9773261526167856,42.43829679489136,512,512
t015,0.05,edsr,edsr_x4,1.0,0.0,37.33020846960377,0.9801199417409867,41.77338194847107,512,512
t015,0.1,edsr,edsr_x4,1.0,0.0,37.171195037948884,0.9794558837470252,41.221027135849,512,512
