image,alpha,model,attack_name,nc,ber,psnr_after_attack,ssim_after_attack,runtime_s,out_h,out_w
t019,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,39.25976901944625,0.9704659945312498,0.1002321243286132,512,512
t019,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,39.149755215022026,0.9698093169256436,0.1010951995849609,512,512
t019,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,38.94412219538256,0.9686118257575052,0.1012029647827148,512,512
t019,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,38.7367591192175,0.9672735999816708,0.1014370918273925,512,512
t020,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,38.80820634435928,0.9783614563486128,0.0998880863189697,512,512
t020,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,38.70255643639267,0.977900229995571,0.1012239456176757,512,512
t020,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,38.46124890594419,0.9768172581640938,0.1016609668731689,512,512
t020,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,38.24442073240572,0.9757902346179886,0.100510835647583,512,512
t021,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,36.891447552343415,0.9791183223173596,0.1009681224822998,512,512
t021,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,36.75869726841492,0.9785155067948428,0.1015081405639648,512,512
t021,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,36.49917238164855,0.9773613051783384,0.1020629405975341,512,512
t021,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,36.234261941672614,0.976124728563735,0.1005709171295166,512,512
t022,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,37.744915131796134,0.9832383576146744,0.0998852252960205,512,512
t022,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,37.62274043009326,0.9828072354477672,0.1022610664367675,512,512
t022,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,37.377675726847215,0.981923563121217,0.1023449897766113,512,512
t022,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,37.13953692328191,0.981024527083864,0.1013538837432861,512,512
t023,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,38.303275247830605,0.9798980057929172,0.1042649745941162,512,512
t023,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,38.19287718512634,0.9794275864689324,0.1068038940429687,512,512
t023,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,37.959341893355784,0.978456232084349,0.1013503074645996,512,512
t023,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,37.72666130858144,0.9774201535036106,0.1014037132263183,512,512
t024,0.05,fsrcnn,fsrcnn_x4,1.0,0.0,38.18688007937146,0.9775871172054188,0.1016459465026855,512,512
t024,0.1,fsrcnn,fsrcnn_x4,1.0,0.0,38.05865113072598,0.9770753978619464,0.1035501956939697,512,512
t024,0.2,fsrcnn,fsrcnn_x4,1.0,0.0,37.809489437313474,0.9759960050914804,0.1025421619415283,512,512
t024,0.3,fsrcnn,fsrcnn_x4,1.0,0.0,37.543745964308144,0.9748463561735624,0.1019260883331298,512,512
