coeff_pair,direction,attack_name,image,nc,ber
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim10.png,0.416015625,0.2919921875
"(1,0)/(7,7)",B,espcn_x4,kodim10.png,0.99609375,0.001953125
"(1,0)/(7,7)",B,real_esrgan,kodim11.png,0.478515625,0.2607421875
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim11.png,0.7890625,0.10546875
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim11.png,0.421875,0.2890625
"(1,0)/(7,7)",B,espcn_x4,kodim11.png,1.0,0.0
"(1,0)/(7,7)",B,real_esrgan,kodim12.png,0.556640625,0.2216796875
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim12.png,0.822265625,0.0888671875
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim12.png,0.556640625,0.2216796875
"(1,0)/(7,7)",B,espcn_x4,kodim12.png,0.9765625,0.01171875
"(1,0)/(7,7)",B,real_esrgan,kodim13.png,0.46875,0.265625
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim13.png,0.869140625,0.0654296875
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim13.png,0.251953125,0.3740234375
"(1,0)/(7,7)",B,espcn_x4,kodim13.png,0.9765625,0.01171875
"(1,0)/(7,7)",B,real_esrgan,kodim14.png,0.4765625,0.26171875
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim14.png,0.798828125,0.1005859375
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim14.png,0.185546875,0.4072265625
"(1,0)/(7,7)",B,espcn_x4,kodim14.png,1.0,0.0
"(1,0)/(7,7)",B,real_esrgan,kodim15.png,0.423828125,0.2880859375
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim15.png,0.73828125,0.130859375
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim15.png,0.564453125,0.2177734375
"(1,0)/(7,7)",B,espcn_x4,kodim15.png,0.958984375,0.0205078125
"(1,0)/(7,7)",B,real_esrgan,kodim16.png,0.45703125,0.271484375
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim16.png,0.771484375,0.1142578125
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim16.png,0.37109375,0.314453125
"(1,0)/(7,7)",B,espcn_x4,kodim16.png,1.0,0.0
"(1,0)/(7,7)",B,real_esrgan,kodim17.png,0.369140625,0.3154296875
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim17.png,0.66796875,0.166015625
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim17.png,0.27734375,0.361328125
"(1,0)/(7,7)",B,espcn_x4,kodim17.png,0.99609375,0.001953125
"(1,0)/(7,7)",B,real_esrgan,kodim18.png,0.525390625,0.2373046875
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim18.png,0.85546875,0.072265625
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim18.png,0.353515625,0.3232421875
"(1,0)/(7,7)",B,espcn_x4,kodim18.png,0.99609375,0.001953125
"(1,0)/(7,7)",B,real_esrgan,kodim19.png,0.380859375,0.3095703125
"(1,0)/(7,7)",B,jpeg_compression_q50,kodim19.png,0.7109375,0.14453125
"(1,0)/(7,7)",B,gaussian_blur_5x5,kodim19.png,0.34765625,0.326171875
"(1,0)/(7,7)",B,espcn_x4,kodim19.png,1.0,0.0
"(1,0)/(7,7)",B,real_esrgan,kodim20.png,0.212890625,0.3935546875
