image,dataset,coefficient_pair,alpha,attack,nc,ber,psnr,ssim,esrgan_source
kodim19,kodak,balanced,0.1,gaussian_blur,0.958984375,0.0205078125,27.63965529460624,0.8424101093766657,
kodim19,kodak,hf,0.1,none,1.0,0.0,43.98249810096979,0.9865866541360856,
kodim19,kodak,hf,0.1,real_esrgan,0.890625,0.0546875,29.144272294780357,0.9104111256081202,disk_precomputed_canonical
kodim19,kodak,hf,0.1,jpeg_q50,0.931640625,0.0341796875,32.31863990390287,0.8971695886369297,
kodim19,kodak,hf,0.1,gaussian_blur,0.990234375,0.0048828125,27.71860991273654,0.8499104794751351,
kodim20,kodak,standard,0.1,none,0.994140625,0.0029296875,41.6973849673748,0.9782651174540874,
kodim20,kodak,standard,0.1,real_esrgan,0.455078125,0.2724609375,32.636625565423174,0.9263145366121522,disk_precomputed_canonical
kodim20,kodak,standard,0.1,jpeg_q50,0.8203125,0.08984375,33.063873893714785,0.9049620846522849,
kodim20,kodak,standard,0.1,gaussian_blur,0.92578125,0.037109375,29.431078096775074,0.9001474007411813,
kodim20,kodak,balanced,0.1,none,1.0,0.0,41.76923364674704,0.979086984609289,
kodim20,kodak,balanced,0.1,real_esrgan,0.52734375,0.236328125,32.689115691680286,0.9272396237935386,live_canonical
kodim20,kodak,balanced,0.1,jpeg_q50,0.98828125,0.005859375,33.053529008423766,0.9033225189118755,
kodim20,kodak,balanced,0.1,gaussian_blur,0.943359375,0.0283203125,29.4255115227508,0.8995464861952053,
kodim20,kodak,hf,0.1,none,1.0,0.0,44.59589915195626,0.9854967094222445,
kodim20,kodak,hf,0.1,real_esrgan,0.52734375,0.236328125,32.8857627186752,0.9297189648967148,disk_precomputed_canonical
kodim20,kodak,hf,0.1,jpeg_q50,0.54296875,0.228515625,33.39677728370595,0.9151852834214932,
kodim20,kodak,hf,0.1,gaussian_blur,0.990234375,0.0048828125,29.55260798836222,0.9078790200269183,
kodim21,kodak,standard,0.1,none,0.998046875,0.0009765625,39.91787212239569,0.9786844428203678,
kodim21,kodak,standard,0.1,real_esrgan,0.759765625,0.1201171875,31.035523222974305,0.9264068076760439,disk_precomputed_canonical
kodim21,kodak,standard,0.1,jpeg_q50,0.9921875,0.00390625,30.818345648981236,0.8902115903844523,
kodim21,kodak,standard,0.1,gaussian_blur,0.89453125,0.052734375,27.79196020661727,0.8669445427343269,
kodim21,kodak,balanced,0.1,none,1.0,0.0,40.18893564359901,0.97995538689799,
kodim21,kodak,balanced,0.1,real_esrgan,0.826171875,0.0869140625,31.07868900345881,0.9277975279404441,live_canonical
kodim21,kodak,balanced,0.1,jpeg_q50,0.998046875,0.0009765625,30.89333363606133,0.8974745269807644,
kodim21,kodak,balanced,0.1,gaussian_blur,0.94140625,0.029296875,27.790468763961425,0.8666487660011852,
kodim21,kodak,hf,0.1,none,1.0,0.0,43.3138373527807,0.9851050131471989,
